uri	name	issn	eissn	
	Journal of Bacteriology	0021-9193	1098-5530	
	Journal of Banking and Finance	0378-4266		
	Journal of Basic Microbiology	0233-111X		
	Journal of Behavioral Addictions	2062-5871		
	Journal of Biochemical and Molecular Toxicology	1095-6670		
	Journal of Bioenergetics	0145-479X		
	Journal of Biogeography	0305-0270		
	Journal of Bioinformatics and Computational Biology	0219-7200		
	Journal of Biological Chemistry	0021-9258	1083-351X	
	Journal of Biological Dynamics	1751-3758		
	Journal of Biological Inorganic Chemistry	0949-8257		
	Journal of Biological Physics	0092-0606		
	Journal of Biological Systems	0218-3390		
	Journal of Biomaterials Science. Polymer edition	0920-5063		
	Journal of Biomechanical Engineering	0148-0731	1528-8951	
	Journal of Biomechanics	0021-9290		
	Journal of Biomedical Informatics	1532-0464	1532-0480	
	Journal of Biomedical Materials Research	0021-9304	1097-4636	
	Journal of Biomedical Materials Research - Part B: Applied Biomaterials	1552-4973	1552-4981	
	Journal of Biomedical Materials Research Part A 	1549-3296		
	Journal of Biomedical Nanotechnology	1550-7033		
	Journal of Biomedical Optics	1083-3668		
	Journal of Biomedical Science	1021-7770		
	Journal of Biomedicine &amp; Biotechnology	1110-7243	1110-7251	
	Journal of Biomolecular Nmr	0925-2738		
	Journal of Biomolecular Screening	1087-0571		
	Journal of Biomolecular Structure and Dynamics	0739-1102		
	Journal of Biopharmaceutical Statistics	1054-3406	1520-5711	
	Journal of Biosciences	0250-5991		
	Journal of Biotechnology	0168-1656		
	Journal of Black Psychology	0095-7984		
	Journal of Black Studies	0021-9347		
	Journal of Bodywork and Movement Therapies	1532-9283		
	Journal of Bone and Mineral Research	0884-0431		
	Journal of Breath Research	1752-7155	1752-7163	
	Journal of Bridge Engineering	1084-0702		
	Journal of Broadcasting and Electronic Media	0883-8151		
	Journal of Bryology	0373-6687		
	Journal of Building Performance Simulation	1940-1493		
	Journal of Burn Care and Research	1559-047X		
	Journal of Business Ethics	0167-4544		
	Journal of Business Finance and Accounting	0306-686X		
	Journal of Business Research	0148-2963		
	Journal of Business and Psychology	0889-3268		
	Journal of Cancer	1837-9664		
	Journal of Cancer Education	0885-8195		
	Journal of Cancer Research and Clinical Oncology	0171-5216		
	Journal of Cancer Survivorship-Research and Practice	1932-2259		
	Journal of Cardiac Failure	1071-9164		
	Journal of Cardiac Surgery	0886-0440	1540-8191	
	Journal of Cardiopulmonary Rehabilitation	0883-9212		
	Journal of Cardiopulmonary Rehabilitation and Prevention	1932-7501		
	Journal of Cardiothoracic and Vascular Anesthesia	1053-0770	1532-8422	
	Journal of Cardiovascular Computed Tomography	1934-5925		
	Journal of Cardiovascular Electrophysiology	1045-3873		
	Journal of Cardiovascular Magnetic Resonance	1097-6647	1532-429X	
	Journal of Cardiovascular Medicine	1558-2027		
	Journal of Cardiovascular Nursing	0889-4655		
	Journal of Cardiovascular Pharmacology	0160-2446		
	Journal of Cardiovascular Surgery	0021-9509		
	Journal of Cardiovascular Translational Research	1937-5387		
	Journal of Career Assessment	1069-0727	1552-4590	
	Journal of Career Development	0894-8453		
	Journal of Cataract and Refractive Surgery	0886-3350		
	Journal of Cell Biology	0021-9525	1540-8140	
	Journal of Cell Science	0021-9533		
	Journal of Cellular Biochemistry	0730-2312	1097-4644	
	Journal of Cellular Biochemistry. Supplement	0733-1959		
	Journal of Cellular Physiology	0021-9541	1097-4652	
	Journal of Cellular and Molecular Medicine	1582-1838		
	Journal of Ceramic Processing Research	1229-9162		
	Journal of Cereal Science	0733-5210		
	Journal of Cerebral Blood Flow and Metabolism 	0271-678X		
	Journal of Chemical Ecology	0098-0331	1573-1561	
	Journal of Chemical Education	0021-9584		
	Journal of Chemical Information and Computer Sciences	0095-2338	1520-5142	
	Journal of Chemical Information and Modeling	1549-9596	1549-960X	
	Journal of Chemical Neuroanatomy	0891-0618		
	Journal of Chemical Technology and Biotechnology	0268-2575		
	Journal of Chemical Theory and Computation	1549-9618		
	Journal of Chemical and Engineering Data	0021-9568		
	Journal of Chemistry	2090-9063		
	Journal of Chemotherapy	1120-009X		
	Journal of Child Health Care	1367-4935		
	Journal of Child Language	0305-0009		
	Journal of Child Neurology	0883-0738		
	Journal of Child Sexual Abuse	1053-8712		
	Journal of Child and Adolescent Psychiatric Nursing	1073-6077		
	Journal of Child and Adolescent Psychopharmacology	1044-5463	1557-8992	
	Journal of Child and Adolescent Substance Abuse	1067-828X		
	Journal of Child and Family Studies	1062-1024		
	Journal of Chinese Linguistics	0091-3723		
	Journal of Chinese Philosophy	0301-8121		
	Journal of Chromatographic Science	0021-9665		
	Journal of Chromatography	1570-0232	1873-376X	
	Journal of Chromatography - Part A	0021-9673		
	Journal of Chromatography - Part B: Biomedical Sciences and Applications	1387-2273		
	Journal of Church and State	0021-969X		
	Journal of Civil Engineering and Management	1392-3730		
	Journal of Cleaner Production	0959-6526		
	Journal of Climate	0894-8755		
	Journal of Clinical Anesthesia	0952-8180	1873-4529	
	Journal of Clinical Apheresis	0733-2459		
	Journal of Clinical Child and Adolescent Psychology	1537-4416	1537-4424	
	Journal of Clinical Epidemiology	0895-4356	1878-5921	
	Journal of Clinical Ethics	1046-7890		
	Journal of Clinical Gastroenterology	0192-0790	1539-2031	
	Journal of Clinical Immunology	0271-9142	1573-2592	
	Journal of Clinical Investigation	0021-9738	1558-8238	
	Journal of Clinical Laboratory Analysis	0887-8013		
	Journal of Clinical Laser Medicine & Surgery	1044-5471		
	Journal of Clinical Lipidology	1933-2874		
	Journal of Clinical Microbiology	0095-1137	1098-660X	
	Journal of Clinical Monitoring and Computing	1387-1307	1573-2614	
	Journal of Clinical Neurology	1738-6586		
	Journal of Clinical Neurophysiology	0736-0258		
	Journal of Clinical Neuroscience	0967-5868		
	Journal of Clinical Oncology	0732-183X	1527-7755	
	Journal of Clinical Pathology	0021-9746		
	Journal of Clinical Periodontology	0303-6979		
	Journal of Clinical Pharmacology	1552-4604		
	Journal of Clinical Pharmacy and Therapeutics	0269-4727		
	Journal of Clinical Psychology	0021-9762	1097-4679	
	Journal of Clinical Psychology in Medical Settings	1068-9583	1573-3572	
	Journal of Clinical Psychopharmacology	0271-0749		
	Journal of Clinical Sleep Medicine	1550-9389		
	Journal of Clinical Virology	1386-6532		
	Journal of Clinical and Experimental Neuropsychology	1380-3395	1744-411X	
	Journal of Cluster Science	1040-7278		
	Journal of Coastal Conservation	1400-0350		
	Journal of Coastal Research	0749-0208		
	Journal of Cognitive Neuroscience	0898-929X		
	Journal of College Student Development	0897-5264		
	Journal of Colloid and Interface Science	0021-9797	1095-7103	
	Journal of Combinatorial Optimization	1382-6905		
	Journal of Combinatorial Theory Series B	0095-8956		
	Journal of Combinatorial Theory Series a	0097-3165		
	Journal of Commercial Biotechnology	1462-8732	1478-565X	
	Journal of Communication	0021-9916		
	Journal of Communication Disorders	0021-9924		
	Journal of Communications and Networks	1229-2370		
	Journal of Community Health	0094-5145	1573-3610	
	Journal of Community Health Nursing	0737-0016		
	Journal of Community Psychology	0090-4392		
	Journal of Community and Applied Social Psychology	1052-9284		
	Journal of Comparative Economics	0147-5967		
	Journal of Comparative Family Studies	0047-2328		
	Journal of Comparative Pathology	0021-9975		
	Journal of Comparative Physiology A-Neuroethology Sensory Neural and Behavioral Physiology	0340-7594		
	"Journal of Comparative Physiology B: Biochemical	 Systemic	 and Environmental Physiology"	0174-1578	1432-136X	
	Journal of Comparative Psychology	0735-7036		
	Journal of Competition Law and Economics	1744-6414		
	Journal of Composite Materials	0021-9983		
	Journal of Composites for Construction	1090-0268		
	Journal of Computational Biology	1066-5277		
	Journal of Computational Chemistry	0192-8651	1096-987X	
	Journal of Computational Electronics	1569-8025		
	Journal of Computational Finance	1460-1559		
	Journal of Computational Neuroscience	0929-5313	1573-6873	
	Journal of Computational Physics	0021-9991		
	Journal of Computational Science	1877-7503		
	Journal of Computational and Applied Mathematics	0377-0427		
	Journal of Computational and Graphical Statistics	1061-8600		
	Journal of Computer Assisted Tomography	0363-8715		
	Journal of Computer Science and Technology	1000-9000		
	Journal of Computer and System Sciences	0022-0000		
	Journal of Computer-Aided Molecular Design	0920-654X	1573-4951	
	Journal of Computer-Mediated Communication	1083-6101		
	Journal of Computing Sciences in Colleges	1937-4771		
	Journal of Computing and Information Science in Engineering	1530-9827		
	Journal of Computing in Civil Engineering	0887-3801		
	Journal of Computing in Civil Engineering	0887-3801		
	Journal of Conflict Resolution	0022-0027		
	Journal of Construction Engineering and Management-Asce	0733-9364		
	Journal of Construction Engineering and Management-Asce	0733-9364		
	Journal of Constructivist Psychology	1072-0537		
	Journal of Consulting and Clinical Psychology	0022-006X		
	Journal of Consulting and Clinical Psychology	1939-2117	1939-2117	
	Journal of Consumer Affairs	0022-0078		
	Journal of Consumer Psychology	1057-7408		
	Journal of Consumer Research	0093-5301		
	Journal of Contaminant Hydrology	0169-7722		
	Journal of Contemporary Ethnography	0891-2416		
	Journal of Contemporary History	0022-0094		
	Journal of Controlled Release	0168-3659		
	Journal of Convex Analysis	0944-6532		
	Journal of Corporate Finance	0929-1199		
	Journal of Cosmetic and Laser Therapy	1476-4172		
	Journal of Cosmology and Astroparticle Physics	1475-7516		
	Journal of Counseling Psychology	0022-0167		
	Journal of Counseling and Development	0748-9633		
	Journal of Craniofacial Genetics and Developmental Biology	0270-4145		
	Journal of Craniofacial Surgery	1049-2275	1536-3732	
	Journal of Credit Risk	1744-6619		
	Journal of Criminal Justice	0047-2352		
	Journal of Criminal Law and Criminology	0091-4169		
	Journal of Critical Care	0883-9441		
	Journal of Crohns and Colitis	1873-9946		
	Journal of Cross-Cultural Psychology	0022-0221		
	Journal of Crustacean Biology	0278-0372		
	Journal of Crystal Growth	0022-0248		
	Journal of Cultural Heritage	1296-2074		
	Journal of Cutaneous Pathology	0303-6987	1600-0560	
	Journal of Cystic Fibrosis	1569-1993	1873-5010	
	Journal of Dairy Science	0022-0302	1525-3198	
	Journal of Database Management	1063-8016		
	Journal of Democracy	1045-5736		
	Journal of Dental Education	0022-0337		
	Journal of Dental Research	0022-0345	1544-0591	
	Journal of Dentistry	0300-5712	1879-176X	
	Journal of Dentistry for Children	1551-8949		
	Journal of Dermatology	0385-2407		
	Journal of Development Economics	0304-3878		
	Journal of Development Studies	0022-0388		
	Journal of Developmental Origins of Health and Disease	2040-1744		
	Journal of Developmental and Behavioral Pediatrics	0196-206X	1536-7312	
	Journal of Developmental and Physical Disabilities	1056-263X		
	Journal of Diabetes and its Complications	1056-8727		
	Journal of Difference Equations and Applications	1023-6198		
	Journal of Digital Imaging	0897-1889	1618-727X	
	Journal of Disability Policy Studies	1044-2073		
	Journal of Dispersion Science and Technologylogy	0193-2691		
	Journal of Display Technology	1551-319X		
	Journal of Diversity in Higher Education	1938-8926		
	Journal of Drug Delivery Science and Technology	1773-2247		
	Journal of Drug Education	0047-2379		
	Journal of Drug Issues	0022-0426		
	Journal of Drug Targeting	1061-186X		
	Journal of Drugs in Dermatology	1545-9616		
	Journal of Dynamic Systems Measurement and Control-Transactions of the American Society of Mechanical Engineers	0022-0434		
	Journal of Early Intervention	1053-8151		
	Journal of Earth Science	1674-487X		
	Journal of East Asian Studies	1598-2408		
	Journal of Ecclesiastical History	0022-0469		
	Journal of Ecology	0022-0477		
	Journal of Econometrics	0304-4076		
	Journal of Economic Dynamics and Control	0165-1889		
	Journal of Economic Entomology	0022-0493		
	Journal of Economic History	0022-0507		
	Journal of Economic Inequality	1569-1721		
	Journal of Economic Issues	0021-3624		
	Journal of Economic Literature	0022-0515		
	Journal of Economic Perspectives	0895-3309		
	Journal of Economic Psychology	0167-4870		
	Journal of Economics and Management Strategy	1058-6407		
	Journal of Ect	1095-0680		
	Journal of Educational Computing Research	0735-6331		
	Journal of Educational Research	0022-0671		
	Journal of Educational and Psychological Consultation	1047-4412		
	Journal of Electrocardiology	0022-0736	1532-8430	
	Journal of Electromyography and Kinesiology	1050-6411		
	Journal of Electron Microscopy	0022-0744		
	Journal of Electronic Commerce Research	1526-6133		
	Journal of Electronic Imaging	1017-9909		
	Journal of Electronic Materials	0361-5235		
	Journal of Electronic Testing-Theory and Applications	0923-8174		
	Journal of Electrostatics	0304-3886		
	Journal of Emergency Medicine	0736-4679		
	Journal of Emergency Nursing	0099-1767	1527-2966	
	Journal of Emotional and Behavioral Disorders	1063-4266		
	Journal of Empirical Finance	0927-5398		
	Journal of Employment Counseling	0022-0787		
	Journal of Endocrinology	0022-0795		
	Journal of Endodontics	0099-2399		
	Journal of Endourology	0892-7790		
	Journal of Endovascular Therapy	1526-6028	1545-1550	
	Journal of Energetic Materials	0737-0652		
	Journal of Energy Resources Technology-Transactions of the Asme	0195-0738		
	Journal of Engineering Education	1069-4730		
	Journal of Engineering Education	1069-4730		
	Journal of Engineering Materials and Technology-Transactions of the Asme	0094-4289		
	Journal of Engineering Mathematics	0022-0833	1573-2703	
	Journal of Engineering for Gas Turbines and Power-Transactions of the Asme	0742-4795		
	Journal of English Linguistics	0075-4242		
	Journal of English and Germanic Philology	0363-6941		
	Journal of Entomological Science	0749-8004		
	Journal of Environmental Economics and Management	0095-0696		
	Journal of Environmental Education	0095-8964		
	Journal of Environmental Engineering	0733-9372	1943-7870	
	Journal of Environmental Forensics	1527-5922	1527-5930	
	Journal of Environmental Health	0022-0892		
	Journal of Environmental Management	0301-4797		
	Journal of Environmental Monitoring	1464-0325		
	Journal of Environmental Planning and Management	0964-0568		
	Journal of Environmental Psychology	0272-4944		
	Journal of Environmental Quality	0047-2425	1537-2537	
	Journal of Environmental Radioactivity	0265-931X		
	Journal of Environmental Science and Health - Part A: Toxic/hazardous Substances & Environmental Engineering	1093-4529		
	"Journal of Environmental Science and Health - Part B: Pesticides	 Food Contaminants	 and Agricultural Wastes"	0360-1234	1532-4109	
	Journal of Environmental Sciences	1001-0742		
	Journal of Environmental Systems	0047-2433	1541-3802	
	Journal of Environmental and Engineering Geophysics	1083-1363		
	Journal of Enzyme Inhibition and Medicinal Chemistry	1475-6366		
	Journal of Epidemiology and Community Health	0143-005X		
	Journal of Equine Veterinary Science	0737-0806		
	Journal of Esthetic and Restorative Dentistry	1496-4155	1708-8240	
	Journal of Ethnicity in Substance Abuse	1533-2659		
	Journal of Ethnobiology and Ethnomedicine	1746-4269		
	Journal of Ethnopharmacology	0378-8741		
	Journal of European Public Policy	1350-1763		
	Journal of Evaluation in Clinical Practice	1356-1294		
	Journal of Evolutionary Biology	1010-061X		
	Journal of Evolutionary Economics	0936-9937		
	Journal of Exotic Pet Medicine	1557-5063		
	Journal of Experimental Biology	0022-0949	1477-9145	
	Journal of Experimental Botany	0022-0957	1460-2431	
	Journal of Experimental Child Psychology	0022-0965		
	Journal of Experimental Criminology	1573-3750		
	Journal of Experimental Education	0022-0973		
	Journal of Experimental Marine Biology and Ecology 	0022-0981		
	Journal of Experimental Psychology. Animal Behavior Processes	0097-7403		
	Journal of Experimental Psychology. Applied	1076-898X		
	"Journal of Experimental Psychology. Learning	 Memory	 and Cognition"	0278-7393	1939-1285	
	Journal of Experimental Social Psychology	0022-1031		
	Journal of Experimental Zoology	0022-104X	1097-010X	
	Journal of Experimental Zoology - Part A: Comparative Experimental Biology	1548-8969	1552-499X	
	Journal of Experimental Zoology - Part A: Ecological Genetics and Physiology	1932-5223	1932-5321	
	Journal of Experimental Zoology - Part B: Molecular and Developmental Evolution	1552-5007		
	Journal of Experimental and Clinical Cancer Research	1756-9966		
	Journal of Experimental and Theoretical Physics	1063-7761		
	Journal of Exposure Science and Environmental Epidemiology	1559-0631		
	Journal of Extension	1077-5315		
	Journal of Eye Movement Research	1995-8692		
	Journal of Family Issues	0192-513X		
	Journal of Family Planning and Reproductive Health Care	1471-1893		
	Journal of Family Psychology	0893-3200		
	Journal of Family Violence	0885-7482		
	Journal of Feline Medicine and Surgery	1098-612X		
	Journal of Feminist Studies in Religion	8755-4178		
	Journal of Field Archaeology	0093-4690		
	Journal of Field Omithology	0273-8570	1557-9263	
	Journal of Film and Video	0742-4671		
	Journal of Finance	0022-1082		
	Journal of Financial Crime	1359-0790		
	Journal of Financial Economics	0304-405X		
	Journal of Financial Intermediation	1042-9573		
	Journal of Financial Services Research	0920-8550		
	Journal of Financial and Quantitative Analysis	0022-1090		
	Journal of Fish Biology	0022-1112	1095-8649	
	Journal of Fish Diseases	0140-7775		
	Journal of Fish and Wildlife Management	1944-687X		
	Journal of Fixed Point Theory and Applications	1661-7738		
	Journal of Fluency Disorders	0094-730X		
	Journal of Fluid Mechanics	0022-1120		
	Journal of Fluids Engineering-Transactions of the Asme	0098-2202		
	Journal of Fluids and Structures	0889-9746		
	Journal of Fluorescence	1053-0509		
	Journal of Fluorine Chemistry	0022-1139		
	Journal of Food Agriculture and Environment	1459-0255		
	Journal of Food Biochemistry	0145-8884		
	Journal of Food Distribution Research	0047-245X		
	Journal of Food Engineering	0260-8774		
	Journal of Food Process Engineering	0145-8876		
	Journal of Food Processing and Preservation	0145-8892		
	Journal of Food Protection	0362-028X		
	Journal of Food Quality	0146-9428		
	Journal of Food Safety	0149-6085		
	Journal of Food Science 	0022-1147		
	Journal of Food Science and Technology-Mysore	0022-1155		
	Journal of Foot and Ankle Research	1757-1146		
	Journal of Forensic Sciences	0022-1198	1556-4029	
	Journal of Forest Economics	1104-6899		
	Journal of Forestry	0022-1201		
	Journal of Forestry Research	1007-662X		
	Journal of Freshwater Ecology	0270-5060		
	Journal of Fuel Cell Science and Technology	1550-624X		
	Journal of Functional Analysis	0022-1236		
	Journal of Functional Foods	1756-4646		
	Journal of Gambling Studies	1050-5350	1573-3602	
	Journal of Gastroenterology	0944-1174		
	Journal of Gastroenterology and Hepatology	0815-9319	1440-1746	
	Journal of Gastrointestinal Cancer	1537-3649		
	Journal of Gastrointestinal Surgery	1091-255X		
	Journal of Gender Studies	0958-9236		
	Journal of Gene Medicine	1099-498X	1521-2254	
	Journal of General Internal Medicine	0884-8734		
	Journal of General Physiology	0022-1295		
	Journal of General Virology	0022-1317	1465-2099	
	Journal of General and Applied Microbiology	0022-1260		
	Journal of Genetic Psychology	0022-1325		
	Journal of Genetics	0022-1333		
	Journal of Genetics and Genomics	1673-8527		
	Journal of Geodynamics	0264-3707		
	Journal of Geography in Higher Education	0309-8265		
	Journal of Geology	0022-1376		
	Journal of Geometric Analysis	1050-6926		
	Journal of Geophysical Research	0148-0227	2156-2202	
	Journal of Geophysical Research - Biogeosciences	0148-0227	2156-2202	
	Journal of Geophysical Research-Atmospheres	2169-897X		
	Journal of Geophysical Research-Biogeosciences	2169-8953		
	Journal of Geophysical Research-Earth Surface	2169-9003		
	Journal of Geophysical Research-Oceans	2169-9275		
	Journal of Geophysical Research-Space Physics	2169-9380		
	Journal of Geotechnical and Geoenvironmental Engineering	1090-0241		
	Journal of Geriatric Physical Therapy	1539-8412		
	Journal of Geriatric Psychiatry and Neurology	0891-9887		
	Journal of Gerontological Nursing	0098-9134		
	Journal of Glaciology	0022-1430		
	Journal of Glaucoma	1057-0829	1536-481X	
	Journal of Global Optimization	0925-5001		
	Journal of Graph Theory	0364-9024		
	Journal of Great Lakes Research	0380-1330		
	Journal of Green Building	1552-6100		
	Journal of Grid Computing	1570-7873		
	Journal of Group Theory	1433-5883		
	Journal of Guidance Control and Dynamics	0731-5090		
	Journal of Hand Surgery-European Volume	1753-1934		
	Journal of Hand Therapy	0894-1130		
	Journal of Happiness Studies	1389-4978		
	Journal of Hazardous Materials	0304-3894	1873-3336	
	Journal of Hazardous Wastes and Hazardous Materials	0882-5696		
	Journal of Head Trauma Rehabilitation	0885-9701	1550-509X	
	Journal of Health & Social Behavior	0022-1465		
	Journal of Health Care Chaplaincy	0885-4726		
	Journal of Health Care Law & Policy	1097-4768		
	Journal of Health Care for the Poor and Underserved	1049-2089		
	Journal of Health Communication	1081-0730		
	Journal of Health Economics	0167-6296		
	Journal of Health Psychology	1359-1053		
	Journal of Healthcare Management	1096-9012		
	Journal of Heat Transfer-Transactions of the Asme	0022-1481		
	Journal of Hellenic Studies	0075-4269		
	Journal of Hematology & Oncology	1756-8722		
	Journal of Hepatology	0168-8278		
	Journal of Herpetology	0022-1511		
	Journal of Heterocyclic Chemistry	0022-152X		
	Journal of Heuristics	1381-1231		
	Journal of High Energy Physics	1029-8479		
	Journal of High Energy Physics	1126-6708		
	Journal of Higher Education	0022-1546		
	Journal of Histochemistry and Cytochemistry	0022-1554		
	Journal of Historical Geography	0305-7488		
	Journal of Homosexuality	0091-8369		
	Journal of Horticultural Science and Biotechnology	1462-0316		
	Journal of Hospital Infection	0195-6701		
	Journal of Hospital Librarianship	1532-3269	1532-3277	
	Journal of Hospital Medicine	1553-5592	1553-5606	
	Journal of Hospitality and Tourism Research	1096-3480		
	Journal of Human Development and Capabilities	1945-2829		
	Journal of Human Evolution	0047-2484		
	Journal of Human Hypertension	0950-9240		
	Journal of Human Nutrition and Dietetics	0952-3871	1365-277X	
	Journal of Human Resources	0022-166X		
	Journal of Humanistic Psychology	0022-1678		
	Journal of Hydraulic Engineering-Asce	0733-9429		
	Journal of Hydraulic Engineering-Asce	0733-9429		
	Journal of Hydro-Environment Research	1570-6443		
	Journal of Hydrologic Engineering	1084-0699	1943-5584	
	Journal of Hydrology	0022-1694		
	Journal of Hydrometeorology	1525-755X		
	Journal of Hypertension	0263-6352		
	Journal of Immigrant and Minority Health	1557-1912		
	Journal of Immunological Methods	0022-1759		
	Journal of Immunology	0022-1767		
	Journal of Immunotherapy	1524-9557		
	Journal of Industrial Ecology	1088-1980		
	Journal of Industrial Economics	0022-1821		
	Journal of Industrial Microbiology & Biotechnology	1367-5435		
	Journal of Industrial and Engineering Chemistry	1226-086X		
	Journal of Industrial and Management Optimization	1547-5816		
	Journal of Inequalities and Applications	1025-5834		
	Journal of Infection	0163-4453		
	Journal of Infection in Developing Countries	2036-6590	1972-2680	
	Journal of Infectious Diseases	0022-1899	1537-6613	
	Journal of Inflammation-London	1476-9255		
	Journal of Information Science and Engineering	1016-2364		
	Journal of Infrastructure Systems	1076-0342		
	Journal of Inherited Metabolic Disease	0141-8955		
	Journal of Innate Immunity	1662-811X		
	Journal of Inorganic Biochemistry	0162-0134		
	Journal of Inorganic and Organometallic Polymers and Materials	1574-1443		
	Journal of Insect Behavior	0892-7553		
	Journal of Insect Conservation	1366-638X		
	Journal of Insect Physiology	0022-1910	1879-1611	
	Journal of Insect Science	1536-2442	1536-2442	
	Journal of Instrumentation	1748-0221		
	Journal of Integrative Plant Biology	1672-9072		
	Journal of Intellectual Disability Research	0964-2633		
	Journal of Intelligent Information Systems	0925-9902		
	Journal of Intelligent Material Systems and Structures	1045-389X	1530-8138	
	Journal of Intelligent Transportation Systems	1547-2450		
	Journal of Intelligent and Robotic Systems	0921-0296		
	Journal of Intensive Care Medicine	0885-0666	1525-1489	
	Journal of Interactive Marketing	1094-9968		
	Journal of Interdisciplinary History	0022-1953		
	Journal of Interferon & Cytokine Research	1079-9907		
	Journal of Interior Design	1071-7641		
	Journal of International Criminal Justice	1478-1387		
	Journal of International Development	0954-1748		
	Journal of International Economics	0022-1996		
	Journal of International Medical Research	0300-0605		
	Journal of International Money and Finance	0261-5606		
	Journal of Interpersonal Violence	0886-2605		
	Journal of Interprofessional Care	1356-1820		
	Journal of Interventional Cardiac Electrophysiology	1383-875X		
	Journal of Interventional Cardiology	0896-4327		
	Journal of Intravenous Nursing	1533-1458		
	Journal of Invasive Cardiology	1042-3931		
	Journal of Invertebrate Pathology	0022-2011	1096-0805	
	Journal of Investigative Dermatology	0022-202X		
	Journal of Investigative Medicine	1081-5589		
	Journal of Irrigation and Drainage	0733-9437	1943-4774	
	Journal of Irrigation and Drainage Engineering-Asce	0733-9437		
	Journal of Island and Coastal Archaeology	1556-4894		
	Journal of Israeli History	1353-1042		
	Journal of Japanese Studies	0095-6848		
	Journal of Laparoendoscopic and Advanced Surgical Techniques	1092-6429		
	Journal of Laryngology and Otology	0022-2151		
	Journal of Latin American Studies	0022-216X		
	Journal of Law Medicine and Ethics	1073-1105		
	Journal of Law and Economics	0022-2186		
	Journal of Learning Disabilities	0022-2194		
	Journal of Legal Education	0022-2208		
	Journal of Leisure Research	0022-2216		
	Journal of Leukocyte Biology	0741-5400		
	Journal of Library & Information Services in Distance Learning	1533-290X	1533-2918	
	Journal of Library Innovation	1947-525X		
	Journal of Limnology	1129-5767		
	Journal of Linguistics	0022-2267		
	Journal of Lipid Mediators and Cell Signalling	0090-6980		
	Journal of Lipid Research	0022-2275		
	Journal of Liposome Research	0898-2104		
	Journal of Liquid Chromatography and Related Technologies	1082-6076		
	Journal of Literacy Research	1086-296X		
	Journal of Logic and Computation	0955-792X		
	Journal of Long-Term Effects of Medical Implants	1050-6934		
	Journal of Low Temperature Physics	0022-2291		
	Journal of Lower Genital Tract Disease	1089-2591	1526-0976	
	Journal of Luminescence	0022-2313		
	Journal of Machine Learning Research	1532-4435		
	Journal of Macromarketing	0276-1467		
	Journal of Macromolecular Science Part A-Pure and Applied Chemistry	1060-1325		
	Journal of Magnetic Resonance	1090-7807		
	Journal of Magnetic Resonance Imaging	1053-1807		
	Journal of Magnetism and Magnetic Materials	0304-8853		
	Journal of Mammalian Evolution	1064-7554		
	Journal of Mammalogy	0022-2372		
	Journal of Mammary Gland Biology and Neoplasia	1083-3021		
	Journal of Managed Care Pharmacy	1083-4087		
	Journal of Management	0149-2063		
	Journal of Management Information Systems	0742-1222		
	Journal of Management Inquiry	1056-4926		
	Journal of Management in Engineering	0742-597X		
	Journal of Manipulative and Physiological Therapeutics	0161-4754	1532-6586	
	Journal of Manufacturing Science and Engineering-Transactions of the Asme	1087-1357		
	Journal of Marine Research	0022-2402		
	Journal of Marine Systems	0924-7963		
	Journal of Marital and Family Therapy	0194-472X		
	Journal of Marketing	0022-2429		
	Journal of Marketing Research	0022-2437		
	Journal of Marriage and Family	0022-2445		
	Journal of Mass Media Ethics	0890-0523		
	Journal of Mass Spectrometry	1076-5174		
	Journal of Mass Spectrometry	1076-5174		
	Journal of Material Cycles and Waste Management	1438-4957		
	Journal of Materials Chemistry	0959-9428		
	Journal of Materials Chemistry B	2050-750X		
	Journal of Materials Chemistry C	2050-7526		
	Journal of Materials Chemistry a	2050-7488		
	Journal of Materials Engineering and Performance	1059-9495		
	Journal of Materials Processing Technology	0924-0136		
	Journal of Materials Research	0884-2914		
	Journal of Materials Science	0022-2461		
	Journal of Materials Science-Materials in Electronics	0957-4522		
	Journal of Materials Science-Materials in Medicine	0957-4530		
	Journal of Materials in Civil Engineering	0899-1561		
	Journal of Maternal-Fetal and Neonatal Medicine	1476-7058		
	Journal of Mathematical Analysis and Applications	0022-247X		
	Journal of Mathematical Biology	0303-6812	1432-1416	
	Journal of Mathematical Imaging and Vision	0924-9907		
	Journal of Mathematical Logic	0219-0613		
	Journal of Mathematical Physics	0022-2488		
	Journal of Mechanical Design	1050-0472		
	Journal of Mechanical Science and Technology	1738-494X		
	Journal of Mechanisms and Robotics-Transactions of the Asme	1942-4302		
	Journal of Media Economics	0899-7764		
	Journal of Medical & Veterinary Mycology	1369-3786		
	Journal of Medical Case Reports	1752-1947		
	Journal of Medical Devices-Transactions of the American Society of Mechanical Engineers	1932-6181		
	Journal of Medical Economics	1369-6998		
	Journal of Medical Entomology 	0022-2585		
	Journal of Medical Genetics	0022-2593	1468-6244	
	Journal of Medical Internet Research	1438-8871		
	Journal of Medical Library Association	1536-5050	1558-9439	
	Journal of Medical Microbiology	0022-2615		
	Journal of Medical Primatology	0047-2565		
	Journal of Medical Speech-Language Pathology	1065-1438		
	Journal of Medical Systems	0148-5598		
	Journal of Medical Toxicology	1556-9039		
	Journal of Medical Virology	0146-6615		
	Journal of Medicinal Chemistry	0022-2623	1520-4804	
	Journal of Medicinal Food	1096-620X		
	Journal of Membrane Science	0376-7388		
